rank,qwwords,length_x,qwerty,qw_dpl,qw_dpj,dvwords,length_y,dvorak,dv_dpl,dv_dpj,cowords,length_x,colemak,co_dpl,co_dpj,wowords,length_y,workman,wo_dpl,wo_dpj
1,OII,3,19.05,6.35,9.525,HHD,3,19.05,6.35,9.525,HHD,3,19.05,6.35,9.525,CCM,3,19.05,6.35,9.525
2,AAS,3,19.05,6.35,9.525,XXI,3,21.3,7.1,10.65,OII,3,19.05,6.35,9.525,OII,3,19.05,6.35,9.525
3,TTY,3,19.05,6.35,9.525,VSS,3,21.3,7.1,10.65,ULL,3,19.05,6.35,9.525,GTT,3,19.05,6.35,9.525
4,ERR,3,19.05,6.35,9.525,JEE,3,21.3,7.1,10.65,DDT,3,19.05,6.35,9.525,AAS,3,19.05,6.35,9.525
5,OPP,3,19.05,6.35,9.525,XII,3,21.3,7.1,10.65,ARR,3,19.05,6.35,9.525,NEE,3,19.05,6.35,9.525
6,REE,3,19.05,6.35,9.525,PEE,3,23.81,7.937,11.905,TSS,3,19.05,6.35,9.525,EEN,3,19.05,6.35,9.525
7,WEE,3,19.05,6.35,9.525,IFF,3,23.81,7.937,11.905,NEE,3,19.05,6.35,9.525,ASS,3,19.05,6.35,9.525
8,ASS,3,19.05,6.35,9.525,PPI,3,30.49,10.163,15.245,EEN,3,19.05,6.35,9.525,SAA,3,19.05,6.35,9.525
9,EER,3,19.05,6.35,9.525,GTT,3,30.49,10.163,15.245,PPT,3,19.64,6.547,9.82,SHH,3,19.05,6.35,9.525
10,SAA,3,19.05,6.35,9.525,KEE,3,34.34,11.447,17.17,PTT,3,19.64,6.547,9.82,OPP,3,19.64,6.547,9.82
11,GTT,3,19.64,6.547,9.82,NTH,3,38.1,12.7,19.05,EMM,3,21.3,7.1,10.65,EEL,3,21.3,7.1,10.65
12,DEE,3,19.64,6.547,9.82,CRL,3,38.1,12.7,19.05,MEE,3,21.3,7.1,10.65,ELL,3,21.3,7.1,10.65
13,LOO,3,19.64,6.547,9.82,GRR,3,38.1,12.7,19.05,UNN,3,23.81,7.937,11.905,LEE,3,21.3,7.1,10.65
14,ESS,3,23.81,7.937,11.905,TNT,3,38.1,12.7,19.05,SSP,3,23.81,7.937,11.905,UNN,3,23.81,7.937,11.905
15,SEE,3,23.81,7.937,11.905,TSS,3,38.1,12.7,19.05,SPP,3,23.81,7.937,11.905,PEE,3,23.81,7.937,11.905
1,POOP,4,38.1,9.525,12.7,XXII,4,21.3,5.325,7.1,IEEE,4,19.05,4.762,6.35,IEEE,4,38.1,9.525,12.7
2,SASS,4,38.1,9.525,12.7,XIII,4,21.3,5.325,7.1,LULL,4,38.1,9.525,12.7,VVLL,4,38.1,9.525,12.7
3,WEER,4,38.1,9.525,12.7,IEEE,4,38.1,9.525,12.7,PTTS,4,38.69,9.672,12.897,PUFF,4,38.1,9.525,12.7
4,TREE,4,38.1,9.525,12.7,VVLL,4,38.4,9.6,12.8,NEEM,4,40.35,10.088,13.45,FUFF,4,38.1,9.525,12.7
5,REED,4,38.69,9.672,12.897,EPPY,4,42.86,10.715,14.287,RAZZ,4,40.35,10.088,13.45,SASS,4,38.1,9.525,12.7
6,DEER,4,38.69,9.672,12.897,DIFF,4,42.86,10.715,14.287,KNEE,4,40.35,10.088,13.45,BRRR,4,38.1,9.525,12.7
7,POLL,4,38.69,9.672,12.897,IFFY,4,42.86,10.715,14.287,GPSS,4,42.86,10.715,14.287,POOP,4,39.28,9.82,13.093
8,WEED,4,38.69,9.672,12.897,JEEP,4,45.11,11.278,15.037,NULL,4,42.86,10.715,14.287,KNEE,4,40.35,10.088,13.45
9,FREE,4,38.69,9.672,12.897,EPEE,4,47.62,11.905,15.873,LUNN,4,42.86,10.715,14.287,NELL,4,40.35,10.088,13.45
10,REDD,4,38.69,9.672,12.897,PEEP,4,47.62,11.905,15.873,WAAR,4,42.86,10.715,14.287,LLEU,4,40.94,10.235,13.647
11,POOL,4,38.69,9.672,12.897,PIFF,4,54.3,13.575,18.1,PSST,4,42.86,10.715,14.287,ELLE,4,42.6,10.65,14.2
12,LOOP,4,38.69,9.672,12.897,EJOO,4,55.64,13.91,18.547,NELL,4,49.54,12.385,16.513,PEEN,4,42.86,10.715,14.287
13,DEDD,4,39.28,9.82,13.093,BRRR,4,57.35,14.338,19.117,LLEU,4,50.13,12.532,16.71,NEEP,4,42.86,10.715,14.287
14,DEED,4,39.28,9.82,13.093,POOA,4,57.45,14.362,19.15,MELL,4,51.79,12.948,17.263,ADDR,4,42.86,10.715,14.287
15,LOLL,4,39.28,9.82,13.093,PUFF,4,58.04,14.51,19.347,KENN,4,53.39,13.348,17.797,SAAD,4,42.86,10.715,14.287
1,DEESS,5,43.45,8.69,10.862,XXIII,5,21.3,4.26,5.325,KNEEL,5,70.84,14.168,17.71,ADDDA,5,47.62,9.524,11.905
2,ESSEE,5,47.62,9.524,11.905,PUPPY,5,58.33,11.666,14.582,KNELL,5,70.84,14.168,17.71,UPPOP,5,58.33,11.666,14.582
3,REREE,5,57.15,11.43,14.288,KIKKI,5,63.9,12.78,15.975,ENNUI,5,73.35,14.67,18.338,LENNY,5,59.4,11.88,14.85
4,ERRED,5,57.74,11.548,14.435,PEEPY,5,66.67,13.334,16.668,LLUDD,5,74.79,14.958,18.698,KNEEL,5,61.65,12.33,15.412
5,SWEER,5,57.74,11.548,14.435,PEPPY,5,66.67,13.334,16.668,SARRA,5,76.2,15.24,19.05,KNELL,5,61.65,12.33,15.412
6,FREER,5,57.74,11.548,14.435,DIPPY,5,68.59,13.718,17.148,ARRAS,5,76.2,15.24,19.05,NEELE,5,61.65,12.33,15.412
7,REEDS,5,57.74,11.548,14.435,DIDDY,5,68.59,13.718,17.148,LULLY,5,76.2,15.24,19.05,ELLEN,5,61.65,12.33,15.412
8,REDDS,5,57.74,11.548,14.435,KIDDY,5,70.84,14.168,17.71,ARARA,5,76.2,15.24,19.05,PUNNY,5,61.91,12.382,15.478
9,TREED,5,57.74,11.548,14.435,KIPPY,5,70.84,14.168,17.71,ULULU,5,76.2,15.24,19.05,PUFFY,5,61.91,12.382,15.478
10,WEEDS,5,57.74,11.548,14.435,IDDHI,5,76.2,15.24,19.05,RAFFS,5,77.09,15.418,19.272,FUNNY,5,61.91,12.382,15.478
11,EDDER,5,58.33,11.666,14.582,DUPPY,5,76.79,15.358,19.198,LUMME,5,78.75,15.75,19.688,FUFFY,5,61.91,12.382,15.478
12,FREED,5,58.33,11.666,14.582,PUFFY,5,77.09,15.418,19.272,ELLEN,5,80.03,16.006,20.008,PENNY,5,61.91,12.382,15.478
13,DEEDS,5,58.33,11.666,14.582,QUIFF,5,77.2,15.44,19.3,NEELE,5,80.03,16.006,20.008,PEELE,5,66.41,13.282,16.602
14,RFREE,5,58.33,11.666,14.582,JIFFY,5,77.2,15.44,19.3,WARST,5,80.96,16.192,20.24,FENNY,5,68.59,13.718,17.148
15,KIKKI,5,58.92,11.784,14.73,BIFFY,5,77.2,15.44,19.3,FRASS,5,80.96,16.192,20.24,OOLLY,5,68.68,13.736,17.17
1,WEEWEE,6,57.15,9.525,11.43,DIPPPY,6,68.59,11.432,13.718,ENNUYE,6,85.72,14.287,17.144,UPPUFF,6,57.15,9.525,11.43
2,SEEWEE,6,61.91,10.318,12.382,YIPPEE,6,73.94,12.323,14.788,ENLEEN,6,88.23,14.705,17.646,POLLEE,6,75.28,12.547,15.056
3,POOKOO,6,66.67,11.112,13.334,UPPUFF,6,77.68,12.947,15.536,UNHULL,6,100.31,16.718,20.062,UPPULL,6,76.5,12.75,15.3
4,ASSESS,6,66.67,11.112,13.334,KIDDIE,6,97.5,16.25,19.5,NULLUM,6,100.31,16.718,20.062,ENLEEN,6,80.7,13.45,16.14
5,SEESEE,6,71.43,11.905,14.286,BHIKKU,6,102.0,17.0,20.4,UNMEEK,6,100.75,16.792,20.15,FUNNEL,6,83.21,13.868,16.642
6,SWEERT,6,76.79,12.798,15.358,QUIPPY,6,102.93,17.155,20.586,KENNEL,6,102.93,17.155,20.586,POPPEL,6,84.39,14.065,16.878
7,POLLOI,6,77.38,12.897,15.476,QUIPPU,6,103.52,17.253,20.704,LIENEE,6,104.06,17.343,20.812,EPOPEE,6,86.9,14.483,17.38
8,REDDER,6,77.38,12.897,15.476,QUIPPE,6,107.69,17.948,21.538,AARRGH,6,105.28,17.547,21.056,FENNEL,6,89.89,14.982,17.978
9,WEEDER,6,77.38,12.897,15.476,BIDDIE,6,110.54,18.423,22.108,MULLEN,6,106.99,17.832,21.398,FELLEN,6,92.14,15.357,18.428
10,WEDDER,6,77.38,12.897,15.476,TIPPEE,6,111.45,18.575,22.29,MEEKEN,6,109.03,18.172,21.806,KENNEL,6,93.74,15.623,18.748
11,REEDER,6,77.38,12.897,15.476,CHIPPY,6,111.45,18.575,22.29,ARZAWA,6,109.27,18.212,21.854,POLLEN,6,94.33,15.722,18.866
12,WEEDED,6,77.97,12.995,15.594,KIKUYU,6,111.52,18.587,22.304,KEENLY,6,111.13,18.522,22.226,KNUFFE,6,94.65,15.775,18.93
13,WEDDED,6,77.97,12.995,15.594,YUPPIE,6,112.04,18.673,22.408,HEMMEL,6,111.19,18.532,22.238,UNFEEL,6,95.24,15.873,19.048
14,REEDED,6,77.97,12.995,15.594,PUDDEE,6,114.89,19.148,22.978,MULLEY,6,111.75,18.625,22.35,OPPONE,6,96.43,16.072,19.286
15,REDEED,6,77.97,12.995,15.594,DIKDIK,6,115.04,19.173,23.008,BEEMEN,6,112.94,18.823,22.588,PULLEN,6,97.8,16.3,19.56
1,WEEWEED,7,76.79,10.97,12.798,PUPPIFY,7,112.63,16.09,18.772,ENNUYEE,7,85.72,12.246,14.287,KENNELL,7,93.74,13.391,15.623
2,WEDDEED,7,77.97,11.139,12.995,GIDDIFY,7,119.36,17.051,19.893,KENNELL,7,102.93,14.704,17.155,UNFUNNY,7,105.36,15.051,17.56
3,DEEDEED,7,78.56,11.223,13.093,DIFFIDE,7,142.87,20.41,23.812,AARRGHH,7,105.28,15.04,17.547,ENNUYEE,7,119.36,17.051,19.893
4,WEEWEES,7,80.96,11.566,13.493,PEEPEYE,7,148.23,21.176,24.705,SAWARRA,7,123.82,17.689,20.637,BUNNELL,7,121.31,17.33,20.218
5,SEERESS,7,85.72,12.246,14.287,QUIDDIT,7,148.64,21.234,24.773,BLUNNEN,7,125.89,17.984,20.982,AARRGHH,7,123.41,17.63,20.568
6,SWEERED,7,96.43,13.776,16.072,PYGIDID,7,152.7,21.814,25.45,CARRARA,7,127.49,18.213,21.248,POLYNEE,7,126.42,18.06,21.07
7,ASSEWER,7,100.01,14.287,16.668,CYDIPPE,7,160.99,22.999,26.832,GLEEMEN,7,130.24,18.606,21.707,FEOFFEE,7,126.94,18.134,21.157
8,ADDRESS,7,104.77,14.967,17.462,CHIPPIE,7,160.99,22.999,26.832,BUNNELL,7,130.7,18.671,21.783,ENFEOFF,7,135.14,19.306,22.523
9,AARRGHH,7,105.28,15.04,17.547,QUIPPED,7,164.84,23.549,27.473,TARRASS,7,133.35,19.05,22.225,UNFULLY,7,135.24,19.32,22.54
10,REDRESS,7,105.36,15.051,17.56,PUPPIED,7,165.02,23.574,27.503,ZAFFARS,7,136.2,19.457,22.7,LENGTHS,7,135.6,19.371,22.6
11,FRESSER,7,105.36,15.051,17.56,MIGHTNT,7,166.48,23.783,27.747,HELLENE,7,137.18,19.597,22.863,UPKNELL,7,138.05,19.721,23.008
12,DESSERT,7,105.36,15.051,17.56,MUDDIFY,7,169.35,24.193,28.225,SCHNELL,7,141.18,20.169,23.53,BELLEEK,7,141.72,20.246,23.62
13,TRESSED,7,105.36,15.051,17.56,DEQUEUE,7,169.94,24.277,28.323,JUNKMEN,7,142.61,20.373,23.768,KIPPEEN,7,142.69,20.384,23.782
14,RESEEDS,7,105.36,15.051,17.56,OUGHTNT,7,170.63,24.376,28.438,MOYENNE,7,143.69,20.527,23.948,KLIPPEN,7,143.69,20.527,23.948
15,CCESSER,7,107.36,15.337,17.893,GIDDIED,7,171.75,24.536,28.625,KNEEING,7,144.41,20.63,24.068,EUPIONE,7,145.38,20.769,24.23
1,ASSESSEE,8,90.48,11.31,12.926,EQUIPPED,8,186.14,23.268,26.591,KENNELLY,8,141.03,17.629,20.147,KENNELLY,8,128.08,16.01,18.297
2,SWEESWEE,8,101.19,12.649,14.456,CYDIPPID,8,186.72,23.34,26.674,ENKENNEL,8,143.28,17.91,20.469,ENKENNEL,8,134.09,16.761,19.156
3,ASSESSED,8,110.12,13.765,15.731,WHIGGIFY,8,192.1,24.012,27.443,UNKENNEL,8,148.04,18.505,21.149,UNKENNEL,8,138.85,17.356,19.836
4,ASSESSES,8,114.29,14.286,16.327,BOOKKEEP,8,197.26,24.658,28.18,ARRASTRA,8,152.4,19.05,21.771,LEEFULLY,8,143.58,17.948,20.511
5,DEERWEED,8,115.48,14.435,16.497,DIBBUKIM,8,198.57,24.821,28.367,JULIENNE,8,161.21,20.151,23.03,TUPPENNY,8,154.89,19.361,22.127
6,REWEDDED,8,116.07,14.509,16.581,DIFFIDED,8,200.02,25.002,28.574,ENNUYING,8,166.56,20.82,23.794,ENLENGTH,8,156.9,19.612,22.414
7,REASSESS,8,124.12,15.515,17.731,PUPPYING,8,201.08,25.135,28.726,MOULLEEN,8,166.79,20.849,23.827,FLUELLEN,8,160.38,20.048,22.911
8,RESEEDED,8,125.59,15.699,17.941,PYXIDIUM,8,207.53,25.941,29.647,KEENNESS,8,167.69,20.961,23.956,PENELOPE,8,161.0,20.125,23.0
9,SEESAWED,8,129.17,16.146,18.453,MUDPUPPY,8,212.68,26.585,30.383,UNKENNED,8,174.7,21.838,24.957,HADASSAH,8,161.92,20.24,23.131
10,MILLPOOL,8,131.39,16.424,18.77,QUIDDITY,8,213.42,26.678,30.489,CHEYENNE,8,175.11,21.889,25.016,POLYGYNY,8,164.52,20.565,23.503
11,REFERRER,8,137.18,17.148,19.597,THUIDIUM,8,221.74,27.718,31.677,UNMEEKLY,8,177.25,22.156,25.321,UNFLUFFY,8,165.4,20.675,23.629
12,REFEREED,8,137.77,17.221,19.681,PYGIDIUM,8,222.04,27.755,31.72,MENEHUNE,8,178.76,22.345,25.537,PENNEECH,8,165.59,20.699,23.656
13,REFERRED,8,137.77,17.221,19.681,DIDDIKAI,8,223.99,27.999,31.999,UNHEMMED,8,180.71,22.589,25.816,PENNEECK,8,169.35,21.169,24.193
14,DEFERRER,8,137.77,17.221,19.681,QUIFFING,8,224.12,28.015,32.017,EELGRASS,8,181.48,22.685,25.926,SHRADDHA,8,169.49,21.186,24.213
15,ASSERTER,8,138.11,17.264,19.73,PUPPYISM,8,224.51,28.064,32.073,TUNNELLY,8,185.38,23.172,26.483,ASTYLLEN,8,169.94,21.242,24.277
1,ADDRESSEE,9,128.58,14.287,16.073,OKUPUKUPU,9,193.75,21.528,24.219,KENNELLED,9,190.57,21.174,23.821,BRASSARDS,9,191.69,21.299,23.961
2,SEERESSES,9,133.34,14.816,16.668,HIPPIDIUM,9,225.57,25.063,28.196,ILLUMINEE,9,195.85,21.761,24.481,GLEEFULLY,9,194.87,21.652,24.359
3,DEERWEEDS,9,134.53,14.948,16.816,DIFFIDING,9,227.88,25.32,28.485,UNKNELLED,9,203.59,22.621,25.449,OPPONENCY,9,201.11,22.346,25.139
4,CRESSWEED,9,139.59,15.51,17.449,PUPPYFEET,9,228.37,25.374,28.546,NEEDLEMEN,9,206.74,22.971,25.842,BELLYFULL,9,201.68,22.409,25.21
5,ADDRESSER,9,147.63,16.403,18.454,HITCHHIKE,9,232.44,25.827,29.055,EELBLENNY,9,208.29,23.143,26.036,TEENFULLY,9,206.68,22.964,25.835
6,REDRESSER,9,148.22,16.469,18.528,PUPPYFISH,9,253.59,28.177,31.699,WARCRAFTS,9,218.53,24.281,27.316,MADRASSAH,9,208.75,23.194,26.094
7,ADDRESSED,9,148.22,16.469,18.528,EQUIPPING,9,258.78,28.753,32.347,UNKENNING,9,221.61,24.623,27.701,DRAHTHAAR,9,210.15,23.35,26.269
8,REDRESSED,9,148.81,16.534,18.601,RHIPIDIUM,9,263.97,29.33,32.996,UNKENNELS,9,221.97,24.663,27.746,EELBLENNY,9,210.26,23.362,26.282
9,ADDRESSES,9,152.39,16.932,19.049,PUPPYFOOT,9,265.61,29.512,33.201,EMBARRASS,9,223.42,24.824,27.928,OPPONENTS,9,210.73,23.414,26.341
10,REDRESSES,9,152.98,16.998,19.122,JOYPOPPED,9,266.89,29.654,33.361,NUMMULINE,9,223.72,24.858,27.965,PENNUCKLE,9,217.82,24.202,27.228
11,READDRESS,9,162.22,18.024,20.278,HICCUPPED,9,268.37,29.819,33.546,RADDLEMEN,9,225.79,25.088,28.224,NINEPENNY,9,219.07,24.341,27.384
12,GRASSWEED,9,163.61,18.179,20.451,EQUIPPERS,9,270.66,30.073,33.832,HULLOOING,9,226.29,25.143,28.286,BRASSARTS,9,221.59,24.621,27.699
13,GREEGREES,9,169.8,18.867,21.225,EPHIPPIUM,9,276.06,30.673,34.508,UNLENIENT,9,226.34,25.149,28.292,UNGLEEFUL,9,222.44,24.716,27.805
14,SWEETWEED,9,172.63,19.181,21.579,DIFFIDENT,9,276.22,30.691,34.528,UMBELLULE,9,226.87,25.208,28.359,PUPPYFEET,9,224.34,24.927,28.042
15,DEERGRASS,9,174.46,19.384,21.808,PUPPYHOOD,9,276.69,30.743,34.586,TUNNELMEN,9,228.32,25.369,28.54,UNLEVELLY,9,224.63,24.959,28.079
1,ASSERTRESS,10,142.87,14.287,15.874,HITCHHIKED,10,289.59,28.959,32.177,KENNELLING,10,234.85,23.485,26.094,THREEPENNY,10,226.22,22.622,25.136
2,ADDRESSEES,10,152.39,15.239,16.932,REEQUIPPED,10,297.32,29.732,33.036,UNKENNELED,10,235.68,23.568,26.187,FUNNELLING,10,229.75,22.975,25.528
3,DESERTRESS,10,167.27,16.727,18.586,LIGHTTIGHT,10,303.8,30.38,33.756,UNMEEKNESS,10,236.35,23.635,26.261,FUNNELLIKE,10,238.18,23.818,26.464
4,REASSESSED,10,167.57,16.757,18.619,BEEKEEPING,10,315.43,31.543,35.048,MILLENNIUM,10,237.78,23.778,26.42,KENNELLING,10,240.28,24.028,26.698
5,REASSESSES,10,171.74,17.174,19.082,HYPOPYGIUM,10,326.7,32.67,36.3,UNKNEELING,10,247.87,24.787,27.541,PENELOPINE,10,243.88,24.388,27.098
6,ADDRESSERS,10,186.03,18.603,20.67,BEEKEEPERS,10,327.31,32.731,36.368,CARRAGHEEN,10,250.96,25.096,27.884,POLLENLESS,10,251.23,25.123,27.914
7,BUTTRESSED,10,188.39,18.839,20.932,SHEEPIFIED,10,330.52,33.052,36.724,ENLINKMENT,10,261.55,26.155,29.061,UNKNEELING,10,253.3,25.33,28.144
8,BUTTRESSES,10,192.56,19.256,21.396,RIGIDIFIED,10,331.7,33.17,36.856,UNIMMINENT,10,263.94,26.394,29.327,UNEFFENESS,10,256.24,25.624,28.471
9,REASSERTED,10,196.15,19.615,21.794,OPHIDIIDAE,10,331.78,33.178,36.864,MEDDLEMENT,10,266.14,26.614,29.571,UNOPENNESS,10,257.76,25.776,28.64
10,DESTRESSED,10,204.55,20.455,22.728,BOOKKEEPER,10,332.25,33.225,36.917,STAATSRAAD,10,266.7,26.67,29.633,POLLENLIKE,10,270.6,27.06,30.067
11,EFFECTRESS,10,208.51,20.851,23.168,HIPPOGRIFF,10,335.3,33.53,37.256,UNDULLNESS,10,270.64,27.064,30.071,GRASSWARDS,10,275.59,27.559,30.621
12,BUTTERWEED,10,216.97,21.697,24.108,THUMBIKINS,10,336.78,33.678,37.42,EMBLEMENTS,10,272.67,27.267,30.297,STEENBRASS,10,275.81,27.581,30.646
13,WARDRESSES,10,217.65,21.765,24.183,QUEENRIGHT,10,338.35,33.835,37.594,STEENBRASS,10,275.13,27.513,30.57,STAATSRAAD,10,276.52,27.652,30.724
14,INTERESSEE,10,219.38,21.938,24.376,STICHIDIUM,10,339.39,33.939,37.71,SULLENNESS,10,275.36,27.536,30.596,LENGTHSMEN,10,276.81,27.681,30.757
15,HUNTRESSES,10,222.37,22.237,24.708,JOYPOPPING,10,339.53,33.953,37.726,SPLEENLESS,10,275.88,27.588,30.653,UNKENNELED,10,280.73,28.073,31.192
